seqnames,start,end 
chr1,111745518,111746207
chr1,111754771,111756493
chr1,111800638,111803351
chr1,111804216,111804734
chr1,111846254,111847333
chr1,111849113,111850223
chr1,111857034,111857841
chr1,111881122,111881728
chr1,111886120,111887180
chr1,111903815,111904544
chr1,111918979,111922122
chr1,111944322,111945372
chr1,111946090,111946873
chr1,111947610,111949378
chr1,111960994,111961955
chr1,111986828,111991520
chr1,111991634,111993221
chr1,112055987,112057259
chr1,112143986,112145349
chr1,112244955,112245724
chr1,112263901,112265521
chr1,112359702,112361180
chr1,11236375,11237554
chr1,112390775,112391918
chr1,112392581,112397196
chr1,112429807,112430370
chr1,112430602,112431963
chr1,112435280,112436770
chr1,112438089,112439873
chr1,112439952,112440829
chr1,112443666,112444159
chr1,112465545,112467021
chr1,112501818,112502507
chr1,112518013,112518728
chr1,112544188,112544808
chr1,112618178,112620868
chr1,11262181,11263207
chr1,112672985,112673777
chr1,112674050,112676064
chr1,112687975,112689144
chr1,112697154,112703450
chr1,112703532,112706433
chr1,112706519,112708073
chr1,112713811,112715166
chr1,112715440,112716436
chr1,11272483,11272934
chr1,11273087,11274121
chr1,11281219,11281831
chr1,112881904,112883204
chr1,112904591,112907216
chr1,112936653,112938301
chr1,112953689,112957552
chr1,112957657,112958572
chr1,112982407,112984629
chr1,112992029,112999616
chr1,113026684,113028082
chr1,113028978,113030566
chr1,113072354,113074603
chr1,113086642,113087499
chr1,113087602,113089877
chr1,113095273,113096069
chr1,1132082,1132609
chr1,1132739,1133966
chr1,113388563,113391444
chr1,1134903,1135381
chr1,113657228,113657747
chr1,113683000,113685048
chr1,113758308,113760599
chr1,113782627,113784033
chr1,113793907,113794838
chr1,113794998,113795414
chr1,113804507,113805463
chr1,113811027,113813119
chr1,113903833,113905869
chr1,113911761,113913816
chr1,113927555,113930642
chr1,113976309,113977452
chr1,113978565,113980370
chr1,113981346,113985524
chr1,114003278,114003642
chr1,114235668,114236435
chr1,114345747,114346667
chr1,114431238,114431683
chr1,114510129,114512379
chr1,114580965,114582497
chr1,114586763,114589426
chr1,114669570,114671218
chr1,114715983,114717105
chr1,114750973,114751347
chr1,114751426,114752851
chr1,114755461,114756594
chr1,114756750,114758595
chr1,114779982,114781262
chr1,115062714,115063403
chr1,115073351,115074472
chr1,115084505,115086301
chr1,115088942,115091066
chr1,115099230,115100046
chr1,115179166,115180175
chr1,115183109,115186079
chr1,115190287,115190782
chr1,115203863,115204521
chr1,115210049,115211255
chr1,115211572,115212079
chr1,115215823,115216362
chr1,115216555,115218535
chr1,115219001,115220856
chr1,115251118,115252007
chr1,115266254,115268092
chr1,115274032,115274410
chr1,115282258,115285015
chr1,115285094,115285983
chr1,115301741,115303231
chr1,115313528,115314857
chr1,115331686,115332427
chr1,115337032,115338814
chr1,115340259,115341757
chr1,115363273,115365875
chr1,115409010,115410525
chr1,115425332,115426437
chr1,115426611,115427339
chr1,115529985,115530315
chr1,115539330,115540019
chr1,115593061,115593524
chr1,115593852,115594463
chr1,1156298,1156990
chr1,115641662,115643167
chr1,115654822,115656016
chr1,115666332,115668145
chr1,115672058,115673221
chr1,115679252,115679785
chr1,115680084,115681512
chr1,115702778,115703352
chr1,115705503,115706046
chr1,115712759,115713883
chr1,115725319,115726258
chr1,115727239,115728850
chr1,1157462,1159182
chr1,115748303,115748630
chr1,115748750,115749202
chr1,115749323,115749891
chr1,115752889,115758980
chr1,115763468,115763976
chr1,115766019,115770015
chr1,115771161,115771944
chr1,11594437,11596069
chr1,115975749,115977660
chr1,116015963,116016809
chr1,116066783,116067697
chr1,116138780,116139145
chr1,116151581,116152592
chr1,116164094,116164489
chr1,116164572,116165555
chr1,116165841,116166592
chr1,116166946,116167354
chr1,116167640,116168500
chr1,116371993,116379461
chr1,116379748,116382350
chr1,116382642,116384377
chr1,116405031,116406400
chr1,116414791,116419247
chr1,116429431,116430790
chr1,116432899,116434410
chr1,116474567,116478357
chr1,116483416,116484236
chr1,116495784,116496591
chr1,116496714,116497172
chr1,116500788,116501917
chr1,116503365,116505086
chr1,116513109,116515790
chr1,116569743,116572118
chr1,116578834,116579676
chr1,116592908,116593638
chr1,116593827,116594638
chr1,116626925,116629089
chr1,11664113,11665034
chr1,116667805,116668230
chr1,11680585,11682005
chr1,116824811,116826073
chr1,116878326,116879843
chr1,116881339,116882257
chr1,116909036,116911668
chr1,116914270,116917580
chr1,116949863,116951852
chr1,116983420,116984640
chr1,116989737,116990767
chr1,116990930,116991595
chr1,117059495,117060102
chr1,11707555,11708737
chr1,117092694,117093326
chr1,117093413,117093865
chr1,117119479,117120098
chr1,117120722,117122781
chr1,117128267,117129513
chr1,117216126,117216913
chr1,117231551,117233585
chr1,11729817,11730189
chr1,11731581,11732651
chr1,117321594,117322329
chr1,11735039,11735906
chr1,11736006,11737407
chr1,117365246,117368129
chr1,11746834,11747187
chr1,117605129,117605807
chr1,117606077,117607991
chr1,117609247,117610384
chr1,117669132,117670410
chr1,117671285,117673692
chr1,117675589,117684178
chr1,117695608,117696738
chr1,117735038,117735598
chr1,117793952,117794869
chr1,117820956,117822436
chr1,117825329,117826174
chr1,11784299,11785745
chr1,11786382,11799041
chr1,117928450,117930488
chr1,11799132,11799595
chr1,11800660,11801295
chr1,11801506,11801869
chr1,11801949,11807342
chr1,11873681,11875745
chr1,11879823,11882864
chr1,11883158,11883492
chr1,11885724,11887869
chr1,11907787,11910427
chr1,119139338,119141251
chr1,11918130,11919556
chr1,11920333,11920819
chr1,11925948,11926317
chr1,11926540,11927195
chr1,11929103,11931670
chr1,119324236,119324927
chr1,11933728,11935351
chr1,119337297,119337961
chr1,11937348,11939134
chr1,11939391,11939992
chr1,11940367,11941155
chr1,11952270,11952749
chr1,119626369,119627683
chr1,119630660,119633334
chr1,119633569,119634852
chr1,119635129,119636519
chr1,119647398,119649097
chr1,119653929,119654458
chr1,119711936,119713979
chr1,119735398,119735795
chr1,119742036,119744247
chr1,119766246,119766917
chr1,119768402,119769498
chr1,119773145,119774320
chr1,11978421,11993608
chr1,11993772,11996960
chr1,119965508,119966186
chr1,119966338,119966937
chr1,11997111,11997753
chr1,12001577,12002104
chr1,120068822,120069663
chr1,120175864,120177149
chr1,120179534,120180422
chr1,12018887,12020049
chr1,120305773,120306463
chr1,12033840,12034787
chr1,120354724,120355057
chr1,120414985,120415477
chr1,12051850,12052529
chr1,12053045,12053828
chr1,120558469,120558948
chr1,120591967,120592489
chr1,120723938,120724511
chr1,120844365,120844852
chr1,120850416,120851084
chr1,121097193,121097579
chr1,121116943,121117316
chr1,121117874,121118672
chr1,121184841,121185430
chr1,1212640,1212993
chr1,1213178,1213970
chr1,12132595,12133815
chr1,12142862,12143771
chr1,12146345,12149684
chr1,12152804,12153940
chr1,12161159,12162015
chr1,12162111,12162843
chr1,12166771,12169314
chr1,1216731,1217586
chr1,12172571,12176044
chr1,12178377,12181611
chr1,12181739,12182601
chr1,12183493,12187129
chr1,12229995,12232413
chr1,1230944,1232079
chr1,12309958,12310441
chr1,12313101,12313535
chr1,1232548,1232880
chr1,12332893,12333170
chr1,12335589,12346028
chr1,12347564,12348135
chr1,12356936,12357472
chr1,12405313,12406926
chr1,12407043,12407978
chr1,12422914,12423793
chr1,12432254,12436648
chr1,12448295,12452374
chr1,12453000,12455441
chr1,12458033,12459334
chr1,12459568,12462306
chr1,12463306,12464527
chr1,12472939,12476264
chr1,12477284,12479319
chr1,12479402,12480486
chr1,12480974,12481487
chr1,12486108,12486378
chr1,12486476,12487463
chr1,12495316,12496921
chr1,12510553,12512016
chr1,12513517,12514143
chr1,12539333,12542079
chr1,12546629,12548203
chr1,12548299,12549655
chr1,12549823,12550859
chr1,12552570,12554772
chr1,12555920,12557324
chr1,12564425,12566208
chr1,12566725,12567966
chr1,12589799,12598690
chr1,12598842,12605335
chr1,12614417,12620201
chr1,12621858,12622529
chr1,12634341,12637402
chr1,1273061,1274866
chr1,1281509,1282394
chr1,1303926,1306667
chr1,1306839,1309516
chr1,1317435,1319278
chr1,1324212,1326920
chr1,1347298,1349134
chr1,1349548,1350076
chr1,1351353,1352308
chr1,13528294,13528801
chr1,13534680,13536584
chr1,13539827,13541634
chr1,13543024,13544857
chr1,1355282,1355887
chr1,1356894,1362580
chr1,13583440,13584748
chr1,13593567,13593900
chr1,13600738,13601700
chr1,13699628,13701334
chr1,1374430,1376107
chr1,13748347,13750383
chr1,13754555,13755336
chr1,13756430,13758515
chr1,13792197,13793098
chr1,1394510,1395549
chr1,13948362,13948908
chr1,1398680,1400396
chr1,1406394,1408171
chr1,14140928,14141598
chr1,1419620,1420187
chr1,1429596,1436252
chr1,14304066,14304736
chr1,14304833,14305310
chr1,14365658,14366643
chr1,144412257,144413399
chr1,144461050,144461787
chr1,144546295,144547363
chr1,144551661,144552552
chr1,144560729,144561083
chr1,145093555,145093934
chr1,145280307,145281672
chr1,145607877,145608534
chr1,145714278,145715430
chr1,145765371,145765856
chr1,145776478,145778832
chr1,145781758,145785462
chr1,145785657,145786367
chr1,145823444,145824872
chr1,145845266,145846267
chr1,145858385,145860317
chr1,145871846,145873163
chr1,145885863,145886794
chr1,145886915,145887418
chr1,145890701,145893381
chr1,145907165,145907593
chr1,145917826,145919777
chr1,145926522,145928452
chr1,145955533,145956063
chr1,145956242,145958850
chr1,145959326,145962119
chr1,145962357,145965366
chr1,145977702,145988625
chr1,145990057,146000574
chr1,146006572,146008275
chr1,146009497,146011103
chr1,146020746,146022292
chr1,146035298,146039473
chr1,146051491,146052938
chr1,1461855,1463025
chr1,146228225,146228997
chr1,14627451,14627900
chr1,146376178,146378331
chr1,146386618,146388348
chr1,146409768,146410624
chr1,146472286,146472823
chr1,146486542,146487384
chr1,14660782,14661365
chr1,146671228,146671876
chr1,146938078,146939261
chr1,1470807,1472380
chr1,147171490,147173589
chr1,147225093,147226112
chr1,147242143,147243967
chr1,147272953,147273981
chr1,147504522,147505438
chr1,147509449,147510796
chr1,147515167,147517008
chr1,147538161,147541091
chr1,147541233,147542722
chr1,147577210,147577659
chr1,147598612,147600971
chr1,147669235,147671185
chr1,147737065,147737998
chr1,147738154,147738820
chr1,147747978,147749123
chr1,147761775,147763772
chr1,147771277,147771825
chr1,147771963,147773597
chr1,147778005,147778284
chr1,147781281,147782439
chr1,147821190,147821950
chr1,147822083,147822725
chr1,147928328,147928838
chr1,148151581,148152535
chr1,148334480,148335488
chr1,148388583,148389292
chr1,148888931,148889381
chr1,148889566,148889828
chr1,148915071,148915463
chr1,148917203,148917647
chr1,148919095,148919767
chr1,148951522,148952773
chr1,148952920,148953429
chr1,149103220,149103942
chr1,149176473,149177183
chr1,149209979,149211209
chr1,149228200,149228756
chr1,149228997,149229257
chr1,149229718,149230079
chr1,149237867,149238322
chr1,149240862,149241267
chr1,14943169,14943897
chr1,14945054,14946328
chr1,149635899,149637073
chr1,149792557,149793215
chr1,149812009,149813775
chr1,149843340,149843763
chr1,149849920,149850439
chr1,149884789,149889390
chr1,149899487,149900431
chr1,149927417,149928948
chr1,149938844,149940018
chr1,149942230,149943124
chr1,150009174,150011401
chr1,150061396,150061763
chr1,150064732,150068393
chr1,150080147,150082064
chr1,15008016,15008916
chr1,150093209,150094270
chr1,150138215,150138629
chr1,150142004,150142583
chr1,150148631,150152461
chr1,150152626,150153559
chr1,150159744,150160407
chr1,150160633,150165434
chr1,150165797,150166180
chr1,150191135,150192882
chr1,150213263,150214630
chr1,15021516,15022040
chr1,150233522,150236188
chr1,150255456,150256965
chr1,150257681,150260735
chr1,150267686,150270218
chr1,150271614,150274208
chr1,150280280,150283410
chr1,150293203,150294522
chr1,150320683,150322199
chr1,150362977,150366708
chr1,1504632,1506236
chr1,150469988,150471154
chr1,150473004,150473361
chr1,150473820,150474666
chr1,150476437,150477079
chr1,150477159,150478348
chr1,150486765,150487839
chr1,150507529,150508810
chr1,150514805,150516854
chr1,150532052,150533385
chr1,150534082,150536083
chr1,150548512,150549302
chr1,150549395,150551665
chr1,150551852,150553093
chr1,150559035,150560092
chr1,150560170,150569500
chr1,150570628,150571029
chr1,150571391,150572443
chr1,150572575,150580776
chr1,150604094,150605403
chr1,150609327,150611404
chr1,150611578,150614817
chr1,150619187,150621583
chr1,150628617,150630405
chr1,150696823,150697256
chr1,150697388,150697973
chr1,150765420,150765919
chr1,1508656,1509349
chr1,150874660,150877725
chr1,150881147,150881776
chr1,150925743,150927189
chr1,150969594,150975815
chr1,150977360,150977961
chr1,150979192,150979485
chr1,150995013,150996352
chr1,151003522,151004245
chr1,151005258,151010103
chr1,151011093,151014437
chr1,151021884,151024066
chr1,151024229,151025642
chr1,151047264,151048829
chr1,151055889,151056189
chr1,151056788,151057307
chr1,151057881,151061132
chr1,151069313,151072001
chr1,1511088,1512741
chr1,151130216,151132190
chr1,151141929,151147606
chr1,151164451,151166727
chr1,151189699,151190733
chr1,151195976,151196712
chr1,151197560,151199259
chr1,151201709,151202042
chr1,151254117,151255446
chr1,151271600,151272155
chr1,151280852,151284141
chr1,151308949,151313031
chr1,151313146,151314367
chr1,151326328,151328852
chr1,151346359,151347858
chr1,151367644,151369268
chr1,151369800,151372801
chr1,151398801,151400314
chr1,151454818,151455888
chr1,151456425,151458707
chr1,151458939,151460267
chr1,151472858,151473783
chr1,15152068,15154244
chr1,151539552,151540702
chr1,15154321,15154692
chr1,15155908,15157226
chr1,15158733,15159422
chr1,151611221,151612681
chr1,151620565,151621109
chr1,151653928,151654938
chr1,151720360,151721613
chr1,151727841,151728613
chr1,151762561,151764561
chr1,15178491,15179849
chr1,151790029,151790428
chr1,151790864,151791276
chr1,151830962,151833200
chr1,151908724,151910310
chr1,151940508,151947161
chr1,151987839,151990970
chr1,151991976,151994922
chr1,152001292,152001748
chr1,152033992,152037644
chr1,152047175,152049318
chr1,15211012,15211438
chr1,15212932,15213606
chr1,15213858,15214961
chr1,15223878,15225095
chr1,15225285,15226143
chr1,152442754,152443739
chr1,15282038,15283802
chr1,15328280,15330131
chr1,1533126,1534359
chr1,15336348,15338774
chr1,15343593,15344397
chr1,153490590,153491618
chr1,153506191,153507925
chr1,153533367,153534354
chr1,153534447,153536986
chr1,153544425,153546425
chr1,153548871,153550178
chr1,153565376,153567412
chr1,153572740,153573204
chr1,153607981,153611183
chr1,153612220,153613654
chr1,153616300,153618080
chr1,153626141,153631427
chr1,153632620,153640593
chr1,153643517,153645247
chr1,153649778,153650414
chr1,153652648,153653675
chr1,153658147,153659444
chr1,153670369,153671021
chr1,153671215,153672316
chr1,153678003,153678650
chr1,153678748,153679713
chr1,153696830,153699536
chr1,15370504,15371990
chr1,153727321,153729523
chr1,153746031,153746742
chr1,153747377,153748504
chr1,153749269,153751522
chr1,153751639,153752847
chr1,153762739,153764774
chr1,153768796,153769994
chr1,153770264,153771932
chr1,153772087,153776318
chr1,153782735,153784356
chr1,153789261,153791389
chr1,153803432,153804458
chr1,153805099,153805997
chr1,153825040,153826670
chr1,153920534,153921000
chr1,153921850,153924230
chr1,153944005,153947370
chr1,153957819,153960518
chr1,153962343,153964548
chr1,153966292,153968304
chr1,153976593,153978687
chr1,153985028,153987515
chr1,153990088,153991616
chr1,153992817,153993203
chr1,1540110,1541431
chr1,15409204,15410609
chr1,15411298,15411787
chr1,15412311,15413169
chr1,15415422,15418137
chr1,154154513,154156037
chr1,154181744,154183834
chr1,154212368,154213038
chr1,154219454,154222245
chr1,154271785,154273534
chr1,1542722,1544969
chr1,154325042,154327781
chr1,154328752,154329356
chr1,154334503,154335161
chr1,154352765,154353489
chr1,154404887,154408734
chr1,154414961,154415573
chr1,154418094,154421728
chr1,154422824,154423185
chr1,154423347,154424522
chr1,154426707,154429447
chr1,154432911,154433710
chr1,154433910,154435546
chr1,154474352,154474915
chr1,154483459,154485209
chr1,154485308,154487949
chr1,154488693,154491621
chr1,154492032,154497837
chr1,154499249,154503049
chr1,154519420,154520178
chr1,154556658,154560087
chr1,154577338,154578061
chr1,154578183,154579684
chr1,154598893,154600350
chr1,154606846,154609678
chr1,154621653,154622985
chr1,154626081,154628606
chr1,154729358,154731261
chr1,154741387,154742486
chr1,154767355,154768870
chr1,154808781,154810893
chr1,154813421,154814289
chr1,154840713,154841132
chr1,154845348,154845743
chr1,154868982,154870258
chr1,15488947,15489773
chr1,154911780,154912884
chr1,154913040,154913321
chr1,15491931,15493644
chr1,154936179,154938894
chr1,154943034,154945391
chr1,154955460,154957154
chr1,154957283,154957610
chr1,154960989,154963393
chr1,154967067,154968432
chr1,154968697,154976317
chr1,154983286,154983823
chr1,154998985,154999442
chr1,154999599,155009163
chr1,155012316,155012888
chr1,155016556,155018278
chr1,155049775,155053184
chr1,155053361,155053740
chr1,155063471,155064318
chr1,155070773,155071948
chr1,155084708,155086191
chr1,155126232,155133638
chr1,155133738,155134155
chr1,155134284,155137174
chr1,155139494,155140685
chr1,155165729,155168302
chr1,155172361,155173471
chr1,155184658,155186094
chr1,155192674,155195934
chr1,155207018,155209878
chr1,155226277,155228418
chr1,15523500,15524416
chr1,155241300,155241791
chr1,155243405,155245878
chr1,15524520,15527591
chr1,155250506,155251553
chr1,155254343,155256465
chr1,155261520,155262914
chr1,155267881,155268333
chr1,155272394,155274197
chr1,155277484,155277874
chr1,155307701,155310460
chr1,155320013,155325344
chr1,155378033,155379697
chr1,155379803,155380329
chr1,155535847,155536983
chr1,155561847,155564720
chr1,155609689,155610167
chr1,155635890,155636935
chr1,155687789,155689722
chr1,155693505,155695586
chr1,155745140,155745696
chr1,155856716,155857650
chr1,155858761,155862118
chr1,155892721,155894441
chr1,155910103,155912010
chr1,155933788,155935340
chr1,155938387,155938950
chr1,155939204,155943076
chr1,155959622,155963174
chr1,15596535,15597487
chr1,155965985,155972342
chr1,155974184,155982276
chr1,15597907,15598621
chr1,155982399,155984856
chr1,155988977,155990083
chr1,156020176,156021228
chr1,15603005,15604199
chr1,156052717,156055680
chr1,156076334,156077379
chr1,156082670,156083189
chr1,156096099,156097996
chr1,156101784,156108708
chr1,156113545,156131048
chr1,156140467,156142053
chr1,156160447,156161072
chr1,156161163,156163405
chr1,15616334,15621865
chr1,156193124,156194495
chr1,156196052,156197407
chr1,156212189,156214348
chr1,15622294,15623062
chr1,156247852,156248376
chr1,156250942,156251583
chr1,156251835,156252312
chr1,1562534,1562930
chr1,15627017,15628304
chr1,156280763,156283539
chr1,156290987,156292187
chr1,156295306,156295743
chr1,156337732,156338349
chr1,156338492,156339134
chr1,156456138,156458087
chr1,156463331,156466113
chr1,156470385,156470887
chr1,156471584,156472627
chr1,156474790,156479237
chr1,156479380,156481980
chr1,156482920,156483550
chr1,156487752,156495374
chr1,156495582,156497550
chr1,156497636,156506705
chr1,156507326,156511907
chr1,15656924,15657799
chr1,156591197,156592811
chr1,156601089,156602132
chr1,156614919,156617381
chr1,156623647,156625952
chr1,15662912,15663382
chr1,156660290,156671559
chr1,156672595,156678429
chr1,156706129,156707725
chr1,156709552,156709978
chr1,156727547,156729531
chr1,156740330,156741140
chr1,156741296,156742259
chr1,156744092,156753243
chr1,156765883,156767251
chr1,156767385,156768432
chr1,156772471,156773663
chr1,156805668,156807391
chr1,15680887,15681382
chr1,156814739,156815448
chr1,15681489,15682474
chr1,156815640,156816984
chr1,15683642,15684405
chr1,15684501,15685393
chr1,156851702,156853211
chr1,156858724,156859089
chr1,156892604,156899170
chr1,156903642,156904272
chr1,15690518,15692019
chr1,15697174,15697847
chr1,15702452,15705257
chr1,157045048,157046822
chr1,15706718,15707139
chr1,15707321,15707954
chr1,157090482,157091045
chr1,15712685,15716146
chr1,157137702,157139651
chr1,157155155,157156051
chr1,15717524,15720109
chr1,15720367,15721814
chr1,15727315,15728279
chr1,15734419,15738265
chr1,1573652,1575738
chr1,15758319,15763256
chr1,15764264,15764700
chr1,157916523,157916887
chr1,157992283,157992878
chr1,157993068,157994814
chr1,157994893,157995234
chr1,158001092,158003705
chr1,158004415,158005144
chr1,158006450,158007092
chr1,158007453,158010321
chr1,158010488,158012442
chr1,158012828,158013307
chr1,158016726,158022049
chr1,158022138,158023972
chr1,158024417,158025929
chr1,158144670,158146172
chr1,158147067,158150487
chr1,158177115,158178448
chr1,15832883,15837959
chr1,15843482,15844425
chr1,15846555,15851250
chr1,158552536,158553223
chr1,15884652,15887885
chr1,15890604,15891288
chr1,15892195,15893173
chr1,15893417,15894080
chr1,158998788,159000837
chr1,159004745,159006531
chr1,159008772,159011467
chr1,159011579,159013561
chr1,15902684,15903677
chr1,15938907,15939352
chr1,15948043,15951077
chr1,15965521,15966918
chr1,159751146,159752208
chr1,159752520,159753457
chr1,15975600,15976772
chr1,159774756,159775330
chr1,159779203,159780090
chr1,159780191,159780639
chr1,159780863,159781878
chr1,159853286,159855615
chr1,159889367,159890111
chr1,159890220,159890981
chr1,159900325,159900721
chr1,159909888,159911086
chr1,159911184,159911696
chr1,159912975,159913585
chr1,159915890,159916954
chr1,159918691,159919280
chr1,159921293,159926269
chr1,160023999,160024393
chr1,160030976,160032668
chr1,160098040,160100172
chr1,160101184,160102160
chr1,160111577,160112461
chr1,160113061,160118316
chr1,16012187,16021071
chr1,160124151,160125708
chr1,160126971,160133158
chr1,160136928,160137626
chr1,160189310,160190511
chr1,160193236,160193758
chr1,160204507,160210787
chr1,16021198,16022330
chr1,160217449,160218021
chr1,160218759,160220595
chr1,160242638,160245148
chr1,160246587,160248042
chr1,160250918,160251516
chr1,160257635,160258105
chr1,160259694,160260171
chr1,160260392,160263280
chr1,160284144,160285213
chr1,160342283,160344028
chr1,160351136,160352483
chr1,160375447,160376601
chr1,160402259,160402633
chr1,160438022,160438564
chr1,160651833,160652170
chr1,160652252,160652850
chr1,160665472,160666669
chr1,16068173,16069263
chr1,16076566,16077812
chr1,16081745,16082405
chr1,16082540,16083021
chr1,16088011,16089098
chr1,160997618,160998252
chr1,161012636,161015211
chr1,161018859,161021654
chr1,161044224,161046746
