seqnames,start,end,DISEASE/TRAIT,SNPS
12,50819650,50819650,Sudden cardiac arrest,rs17291650
12,3460855,3460855,Cardiac Troponin-T levels,rs568331886
12,55725460,55725460,Cardiac Troponin-T levels,rs4759190
12,89545547,89545547,Cardiac Troponin-T levels,rs75564981
13,24508492,24508492,Sudden cardiac arrest,rs9581094
13,74168185,74168185,Sudden cardiac arrest,rs12429889
13,81205735,81205735,Cardiac Troponin-T levels,rs73525667
14,100159565,100159565,Sudden cardiac arrest,rs7157599
14,23563861,23563861,Sudden cardiac arrest,rs2281680
14,87039904,87039904,Sudden cardiac arrest,rs11624056
14,23397504,23397504,Cardiac dysrhythmias (time to event),rs412768
14,21589386,21589386,Cardiac troponin-I levels,rs61971809
15,78633676,78633676,Sudden cardiac arrest,rs950776
15,94622351,94622351,Sudden cardiac arrest,rs1014922
15,75426328,75426328,Sudden cardiac arrest,rs8028182
16,9650238,9650238,Sudden cardiac arrest,rs17550532
16,78224913,78224913,Cardiac structure and function,rs2059238
16,158762,158762,Early cardiac repolarization,rs139772527
16,20909796,20909796,Cardiac Troponin-T levels,rs571544532
17,62701571,62701571,Sudden cardiac arrest,rs2251393
17,70648048,70648048,Sudden cardiac arrest,rs17718586
17,2868218,2868218,Sudden cardiac arrest,rs12603284
17,77008131,77008131,Early cardiac repolarization,rs11653989
17,70525720,70525720,Early cardiac repolarization,rs7219669
17,64520841,64520841,Cardiac troponin-I levels,rs148050755
18,65217682,65217682,Cardiac Troponin-T levels,rs605920
18,63192088,63192088,Cardiac Troponin-T levels,rs899967
18,3512218,3512218,Cardiac Troponin-T levels,rs17724172
18,6939948,6939948,Sudden cardiac arrest,rs597503
18,26576461,26576461,Sudden cardiac arrest,rs16942421
18,59333237,59333237,Cardiac troponin-I levels,rs2298711
19,45804148,45804148,Sudden cardiac arrest,rs8111071
19,11325663,11325663,Early cardiac repolarization,rs28453057
20,61668355,61668355,Sudden cardiac arrest,rs944260
20,49889212,49889212,Early cardiac repolarization,rs79630422
22,39291479,39291479,Sudden cardiac arrest,rs54211
22,27694209,27694209,Sudden cardiac arrest,rs5762311
