seqnames,start,end,DISEASE/TRAIT,SNPS
3,59663795,59663795,Conotruncal heart defects,rs6763159
3,69361574,69361574,Resting heart rate,rs1483890
3,53421542,53421542,Resting heart rate,rs2358740
3,49732599,49732599,Resting heart rate,rs3749237
3,122371255,122371255,Resting heart rate,rs11920570
3,38579746,38579746,Resting heart rate,rs41312411
3,179455191,179455191,Resting heart rate,rs7612445
3,87702408,87702408,Resting heart rate,rs755291044
3,38754924,38754924,Resting heart rate,rs6599255
3,128242335,128242335,Chronic obstructive pulmonary disease or resting heart rate (pleiotropy),rs2955083
3,156795028,156795028,Chronic obstructive pulmonary disease or resting heart rate (pleiotropy),rs9859058
3,134436825,134436825,Heart rate in heart failure with reduced ejection fraction,rs189919070
3,196256232,196256232,Heart rate in heart failure with reduced ejection fraction,rs56107869
3,196256235,196256235,Heart rate in heart failure with reduced ejection fraction,rs56297497
3,134436825,134436825,Heart rate in heart failure with reduced ejection fraction,rs189919070
3,189563329,189563329,Heart rate in heart failure with reduced ejection fraction,rs189566544
3,189573162,189573162,Heart rate in heart failure with reduced ejection fraction,rs144563425
4,175937875,175937875,Mortality in heart failure,rs7687921
4,139874173,139874173,Congenital heart malformation,rs1531070
4,146578186,146578186,Heart rate,rs10213084
4,130216606,130216606,RR interval (heart rate),rs1024020
4,177397037,177397037,Heart rate variability traits,rs1395479
4,175023930,175023930,Conotruncal heart defects (maternal effects),rs146189703
4,175023930,175023930,Congenital heart disease (maternal effect),rs146189703
4,57027604,57027604,Congenital heart disease (maternal effect),rs73242632
4,118330002,118330002,Congenital heart disease (maternal effect),rs1514658
4,110747470,110747470,Heart failure,rs17042102
4,164148204,164148204,Heart rate response to beta blockers (atenolol add-on therapy),rs6822628
4,164148585,164148585,Heart rate response to beta blockers (atenolol add-on therapy),rs17044565
4,164154356,164154356,Heart rate response to beta blockers (atenolol add-on therapy),rs723730
4,164155752,164155752,Heart rate response to beta blockers (atenolol add-on therapy),rs6835078
4,164156275,164156275,Heart rate response to beta blockers (atenolol add-on therapy),rs6840738
4,164157441,164157441,Heart rate response to beta blockers (atenolol add-on therapy),rs17044630
4,164159680,164159680,Heart rate response to beta blockers (atenolol add-on therapy),rs9991538
4,164159378,164159378,Heart rate response to beta blockers (atenolol add-on therapy),rs11943491
4,164164637,164164637,Heart rate response to beta blockers (atenolol add-on therapy),rs1431001
4,164164966,164164966,Heart rate response to beta blockers (atenolol add-on therapy),rs1430998
4,164172004,164172004,Heart rate response to beta blockers (atenolol add-on therapy),rs17044711
4,164156960,164156960,Heart rate response to beta blockers (atenolol add-on therapy),rs985676
4,164159224,164159224,Heart rate response to beta blockers (atenolol add-on therapy),rs11930019
4,164159753,164159753,Heart rate response to beta blockers (atenolol add-on therapy),rs10002082
4,153589424,153589424,Heart rate response to beta blockers (atenolol monotherapy),rs4315759
4,164160251,164160251,Heart rate response to beta blockers (atenolol add-on therapy),rs11931264
4,164164750,164164750,Heart rate response to beta blockers (atenolol add-on therapy),rs1430999
4,164161744,164161744,Heart rate response to beta blockers (atenolol add-on therapy),rs1120384
4,164174438,164174438,Heart rate response to beta blockers (atenolol add-on therapy),rs10517800
4,164169729,164169729,Heart rate response to beta blockers (atenolol add-on therapy),rs13435288
4,164177450,164177450,Heart rate response to beta blockers (atenolol add-on therapy),rs7673540
4,164180839,164180839,Heart rate response to beta blockers (atenolol add-on therapy),rs7659131
4,164190521,164190521,Heart rate response to beta blockers (atenolol add-on therapy),rs1835507
4,144565237,144565237,Heart rate response to beta blockers (atenolol add-on therapy),rs13118928
4,4646320,4646320,Congenital heart disease,rs870142
4,23949395,23949395,Resting heart rate,rs12501032
4,148053451,148053451,Resting heart rate,rs6845865
4,144564763,144564763,Chronic obstructive pulmonary disease or resting heart rate (pleiotropy),rs7655625
4,164101099,164101099,Glomerular filtration rate change in heart transplantation,rs9762450
4,38234363,38234363,Heart rate in heart failure with reduced ejection fraction,rs78829380
4,22625658,22625658,Heart rate in heart failure with reduced ejection fraction,rs112577387
4,22630338,22630338,Heart rate in heart failure with reduced ejection fraction,rs73123536
4,114106683,114106683,Heart rate in heart failure with reduced ejection fraction,rs115982993
5,179708814,179708814,Resting heart rate,rs6893300
5,179741096,179741096,Resting heart rate,rs17617068
5,33636489,33636489,Mortality in heart failure,rs6868223
5,173237160,173237160,Heart rate,rs6882776
5,137859073,137859073,Heart rate,rs7722600
5,66443611,66443611,RR interval (heart rate),rs10514995
5,4831488,4831488,Heart rate,rs816475
5,71956619,71956619,Conotruncal heart defects (maternal effects),rs1217752
5,115544896,115544896,Conotruncal heart defects (inherited effects),rs13177180
5,43022662,43022662,Conotruncal heart defects (inherited effects),rs6886261
5,104604349,104604349,Congenital heart disease (inherited effect),rs1000613
5,71956619,71956619,Congenital heart disease (maternal effect),rs1217752
5,137676482,137676482,Heart failure,rs11745324
5,123110924,123110924,Heart rate response to recovery post exercise (40 sec),rs151283
5,122531295,122531295,Heart rate response to recovery post exercise (50 sec),rs4836027
5,123110924,123110924,Heart rate response to recovery post exercise (50 sec),rs151283
5,122531295,122531295,Heart rate increase in response to exercise,rs4836027
5,162971455,162971455,Heart rate response to beta blockers (atenolol monotherapy),rs4274995
5,51868281,51868281,Congenital heart disease,rs12186641
5,110840429,110840429,Mortality in heart failure,rs9885413
5,122533238,122533238,Heart rate response to exercise,rs6595376
5,122531295,122531295,Heart rate response to exercise,rs4836027
5,122531295,122531295,Heart rate response to exercise,rs4836027
5,122533238,122533238,Heart rate response to exercise,rs6595376
5,122531295,122531295,Heart rate response to exercise,rs4836027
5,122533615,122533615,Heart rate response to recovery post exercise,rs1993875
5,30888476,30888476,Resting heart rate,rs13165531
5,138217281,138217281,Resting heart rate,rs1468333
5,173216115,173216115,Resting heart rate,rs4868243
5,108411746,108411746,Resting heart rate,rs9326726
5,91046595,91046595,Chronic obstructive pulmonary disease or resting heart rate (pleiotropy),rs7449334
5,143822140,143822140,Glomerular filtration rate change in heart transplantation,rs918378
5,30425422,30425422,Heart rate in heart failure with reduced ejection fraction,rs541284506
5,33083283,33083283,Heart rate in heart failure with reduced ejection fraction,rs112434206
5,166089843,166089843,Heart rate in heart failure with reduced ejection fraction,rs114821210
5,30869242,30869242,Heart rate in heart failure with reduced ejection fraction,rs77506079
5,121264302,121264302,Heart rate in heart failure with reduced ejection fraction,rs79031501
5,121265711,121265711,Heart rate in heart failure with reduced ejection fraction,rs965460
5,121270537,121270537,Heart rate in heart failure with reduced ejection fraction,rs114726259
5,31695670,31695670,Heart rate in heart failure with reduced ejection fraction,rs372344
5,31694898,31694898,Heart rate in heart failure with reduced ejection fraction,rs1678921
5,166089843,166089843,Heart rate in heart failure with reduced ejection fraction,rs114821210
5,30425422,30425422,Heart rate in heart failure with reduced ejection fraction,rs541284506
5,33083283,33083283,Heart rate in heart failure with reduced ejection fraction,rs112434206
5,8543925,8543925,Heart rate in heart failure with reduced ejection fraction,rs1700575
5,141806037,141806037,Heart rate in heart failure with reduced ejection fraction,rs17097649
5,141809067,141809067,Heart rate in heart failure with reduced ejection fraction,rs17097676
5,101495996,101495996,Heart rate in heart failure with reduced ejection fraction,rs113510721
5,101496433,101496433,Heart rate in heart failure with reduced ejection fraction,rs28806579
5,166127270,166127270,Heart rate in heart failure with reduced ejection fraction,rs74956835
5,170374105,170374105,Heart rate in heart failure with reduced ejection fraction,rs144322502
5,166124695,166124695,Heart rate in heart failure with reduced ejection fraction,rs114101629
5,166138903,166138903,Heart rate in heart failure with reduced ejection fraction,rs75729550
6,121810339,121810339,Heart rate,rs1015451
6,118346359,118346359,Heart rate,rs11153730
6,36824281,36824281,Heart rate,rs236373
6,121460244,121460244,Heart rate,rs11154027
6,121409576,121409576,Heart rate,rs17083533
6,118252898,118252898,Resting heart rate,rs281868
6,121824888,121824888,Resting heart rate,rs9398652
6,121427396,121427396,Resting heart rate,rs11154022
6,33118472,33118472,RR interval (heart rate),rs3117035
6,36852789,36852789,Heart rate variability traits (SDNN),rs236349
6,36852789,36852789,Heart rate variability traits (SDNN),rs236349
6,36852789,36852789,Heart rate variability traits (RMSSD),rs236349
6,36852789,36852789,Heart rate variability traits (RMSSD),rs236349
6,36852789,36852789,Heart rate variability traits (pvRSA/HF),rs236349
6,36852789,36852789,Heart rate variability traits (pvRSA/HF),rs236349
6,36849337,36849337,Heart rate,rs236352
6,30840985,30840985,Conotruncal heart defects (maternal effects),rs2517582
6,30955750,30955750,Conotruncal heart defects (maternal effects),rs17189763
6,31396299,31396299,Conotruncal heart defects (maternal effects),rs28366133
6,9320073,9320073,Congenital heart disease (inherited effect),rs56409046
6,30855983,30855983,Congenital heart disease (maternal effect),rs2844660
6,36679903,36679903,Heart failure,rs4135240
6,160584578,160584578,Heart failure,rs55730499
6,160591981,160591981,Heart failure,rs140570886
6,132623384,132623384,Heart rate response to beta blockers (atenolol add-on therapy),rs9385619
6,157939659,157939659,Heart rate response to beta blockers,rs2364349
6,101605939,101605939,Heart rate response to recovery post exercise (20 sec),rs2224202
6,36849337,36849337,Heart rate response to exercise,rs236352
6,36852789,36852789,Heart rate response to recovery post exercise,rs236349
6,32601279,32601279,Heart rate response to exercise,rs9270779
6,118238495,118238495,Resting heart rate,rs3951016
6,121846992,121846992,Resting heart rate,rs1320761
6,121793305,121793305,Resting heart rate,rs9320841
6,36852789,36852789,Resting heart rate,rs236349
6,7554606,7554606,Resting heart rate,rs2744375
6,118238495,118238495,Resting heart rate,rs3951016
6,121846992,121846992,Resting heart rate,rs1320761
6,40414972,40414972,Incident coronary heart disease,rs2916260
6,118370989,118370989,Resting heart rate,rs10457327
6,121437366,121437366,Resting heart rate,rs3792943
6,32185564,32185564,Rheumatic heart disease,rs201026476
6,32661289,32661289,Rheumatic heart disease,rs28724238
6,31358474,31358474,Rheumatic heart disease,rs9405084
6,121700736,121700736,Heart rate,rs9482188
6,120626545,120626545,Chronic obstructive pulmonary disease or resting heart rate (pleiotropy),rs1158317
6,33767694,33767694,Chronic obstructive pulmonary disease or resting heart rate (pleiotropy),rs12173787
6,121824746,121824746,RR interval (heart rate),rs9372667
6,118688750,118688750,RR interval (heart rate),rs6911599
6,121516168,121516168,RR interval (heart rate),rs9385199
6,14453908,14453908,Heart rate in heart failure with reduced ejection fraction,rs149447933
6,14411553,14411553,Heart rate in heart failure with reduced ejection fraction,rs139130723
6,14420151,14420151,Heart rate in heart failure with reduced ejection fraction,rs142803096
6,129963201,129963201,Heart rate in heart failure with reduced ejection fraction,rs17757727
6,14453908,14453908,Heart rate in heart failure with reduced ejection fraction,rs149447933
6,36799290,36799290,Heart rate in heart failure with reduced ejection fraction,rs9470398
6,42088268,42088268,Heart rate in heart failure with reduced ejection fraction,rs79661299
6,22177692,22177692,Heart rate in heart failure with reduced ejection fraction,rs182178320
6,36799290,36799290,Heart rate in heart failure with reduced ejection fraction,rs9470398
6,15880941,15880941,Heart rate in heart failure with reduced ejection fraction,rs116116894
6,16264087,16264087,Heart rate in heart failure with reduced ejection fraction,rs149649230
7,112446278,112446278,Mortality in heart failure,rs17159640
7,93920284,93920284,Heart rate,rs180242
7,100899511,100899511,Heart rate,rs13245899
7,136957887,136957887,Heart rate,rs2350782
7,100855586,100855586,Resting heart rate,rs314370
7,100889133,100889133,Resting heart rate,rs12666989
7,93921135,93921135,Heart rate variability traits (RMSSD),rs180238
7,93921135,93921135,Heart rate variability traits (RMSSD),rs180238
7,93922116,93922116,Heart rate variability traits (SDNN),rs4262
7,93922116,93922116,Heart rate variability traits (SDNN),rs4262
7,93922116,93922116,Heart rate variability traits (pvRSA/HF),rs4262
7,93922116,93922116,Heart rate variability traits (pvRSA/HF),rs4262
7,16931967,16931967,Conotruncal heart defects (maternal effects),rs28549925
7,114223329,114223329,Conotruncal heart defects (maternal effects),rs1450832
7,16931967,16931967,Congenital heart disease (maternal effect),rs28549925
7,114223329,114223329,Congenital heart disease (maternal effect),rs1450832
7,116558567,116558567,Heart rate response to recovery post exercise (40 sec),rs1997571
7,136939874,136939874,Heart rate response to recovery post exercise (40 sec),rs17168815
7,93921135,93921135,Heart rate response to recovery post exercise (40 sec),rs180238
7,100885099,100885099,Heart rate response to recovery post exercise (40 sec),rs3757868
7,93921135,93921135,Heart rate response to recovery post exercise (50 sec),rs180238
7,100885099,100885099,Heart rate response to recovery post exercise (50 sec),rs3757868
7,116558567,116558567,Heart rate response to recovery post exercise (50 sec),rs1997571
7,136939874,136939874,Heart rate response to recovery post exercise (50 sec),rs17168815
7,100897340,100897340,Heart rate increase in response to exercise,rs76181418
7,116519907,116519907,Heart rate increase in response to exercise,rs2109514
7,26530090,26530090,Heart rate response to recovery post exercise (30 sec),rs11768540
7,93916465,93916465,Heart rate response to recovery post exercise (30 sec),rs180253
7,100885099,100885099,Heart rate response to recovery post exercise (30 sec),rs3757868
7,116558567,116558567,Heart rate response to recovery post exercise (30 sec),rs1997571
7,136954689,136954689,Heart rate response to recovery post exercise (30 sec),rs6943656
7,26543114,26543114,Heart rate response to recovery post exercise (10 sec),rs2158712
7,93916465,93916465,Heart rate response to recovery post exercise (10 sec),rs180253
7,100897329,100897329,Heart rate response to recovery post exercise (10 sec),rs17883557
7,116558567,116558567,Heart rate response to recovery post exercise (10 sec),rs1997571
7,136961160,136961160,Heart rate response to recovery post exercise (10 sec),rs6952499
7,26527456,26527456,Heart rate response to recovery post exercise (20 sec),rs1990101
7,93916465,93916465,Heart rate response to recovery post exercise (20 sec),rs180253
7,100885099,100885099,Heart rate response to recovery post exercise (20 sec),rs3757868
7,116558567,116558567,Heart rate response to recovery post exercise (20 sec),rs1997571
7,136954689,136954689,Heart rate response to recovery post exercise (20 sec),rs6943656
7,27290437,27290437,Heart failure,rs13225783
7,116473690,116473690,Heart rate response to exercise,rs28495552
7,116519907,116519907,Heart rate response to recovery post exercise,rs2109514
7,116473690,116473690,Heart rate response to exercise,rs28495552
7,100885099,100885099,Heart rate response to recovery post exercise,rs3757868
7,136954689,136954689,Heart rate response to recovery post exercise,rs6943656
7,93921103,93921103,Resting heart rate,rs180239
7,100895738,100895738,Resting heart rate,rs17881696
7,116806519,116806519,Resting heart rate,rs41748
7,136891353,136891353,Resting heart rate,rs73158705
7,100895738,100895738,Resting heart rate,rs17881696
7,93921103,93921103,Resting heart rate,rs180239
7,127329992,127329992,Resting heart rate,rs11563648
7,131280650,131280650,Resting heart rate,rs138186803
7,116806519,116806519,Resting heart rate,rs41748
7,35218665,35218665,Resting heart rate,rs58437978
7,136891353,136891353,Resting heart rate,rs73158705
7,100168166,100168166,Resting heart rate,rs140367586
7,121326736,121326736,Ischemic heart disease in rheumatoid arthritis,rs3779381
7,100885099,100885099,RR interval (heart rate),rs3757868
7,104595243,104595243,Heart rate in heart failure with reduced ejection fraction,rs143054558
7,104670969,104670969,Heart rate in heart failure with reduced ejection fraction,rs190116644
7,4549001,4549001,Heart rate in heart failure with reduced ejection fraction,rs11766034
7,101886632,101886632,Heart rate in heart failure with reduced ejection fraction,rs10234809
7,123038013,123038013,Heart rate in heart failure with reduced ejection fraction,rs111681691
7,6163445,6163445,Heart rate in heart failure with reduced ejection fraction,rs78314028
7,47398239,47398239,Heart rate in heart failure with reduced ejection fraction,rs192154334
7,6499355,6499355,Heart rate in heart failure with reduced ejection fraction,rs142659860
7,6501383,6501383,Heart rate in heart failure with reduced ejection fraction,rs73059342
7,6508129,6508129,Heart rate in heart failure with reduced ejection fraction,rs556723179
8,59217737,59217737,RR interval (heart rate),rs3110127
8,30405270,30405270,Heart rate variability traits,rs2979481
8,37238541,37238541,Heart rate,rs1015003
8,59280255,59280255,Conotruncal heart defects (maternal effects),rs55884872
8,57383062,57383062,Conotruncal heart defects (inherited effects),rs72652966
8,59275232,59275232,Congenital heart disease (maternal effect),rs75661265
8,87811731,87811731,Congenital heart disease (maternal effect),rs78642028
8,134945091,134945091,Heart rate response to beta blockers (atenolol monotherapy),rs7461108
8,124670801,124670801,Heart rate response to beta blockers (atenolol monotherapy),rs6470258
8,134943565,134943565,Heart rate response to beta blockers (atenolol monotherapy),rs4132831
8,124670942,124670942,Heart rate response to beta blockers (atenolol monotherapy),rs6470259
8,95439600,95439600,Heart rate response to beta blockers (atenolol add-on therapy),rs16917667
8,95440624,95440624,Heart rate response to beta blockers (atenolol add-on therapy),rs1392797
8,15845741,15845741,Heart rate response to beta blockers (atenolol add-on therapy),rs1017660
8,82756885,82756885,Heart failure,rs6473383
8,10659837,10659837,Heart rate response to exercise,rs11775702
8,10668676,10668676,Heart rate response to exercise,rs58065122
8,120037994,120037994,Heart rate response to exercise,rs60717250
8,143907320,143907320,Resting heart rate,rs56233017
8,4244902,4244902,Resting heart rate,rs145669495
8,61568961,61568961,Resting heart rate,rs142916219
8,105501233,105501233,Chronic obstructive pulmonary disease or resting heart rate (pleiotropy),rs57942103
8,108747025,108747025,Heart rate in heart failure with reduced ejection fraction,rs62509389
8,108762441,108762441,Heart rate in heart failure with reduced ejection fraction,rs62509394
8,95440624,95440624,Heart rate in heart failure with reduced ejection fraction,rs1392797
8,95455121,95455121,Heart rate in heart failure with reduced ejection fraction,rs78897914
8,95457559,95457559,Heart rate in heart failure with reduced ejection fraction,rs16917715
8,95454820,95454820,Heart rate in heart failure with reduced ejection fraction,rs116454494
8,95439207,95439207,Heart rate in heart failure with reduced ejection fraction,rs74864598
8,95439600,95439600,Heart rate in heart failure with reduced ejection fraction,rs16917667
8,3620814,3620814,Heart rate in heart failure with reduced ejection fraction,rs1600857
8,63615955,63615955,Heart rate in heart failure with reduced ejection fraction,rs187251765
9,25452814,25452814,RR interval (heart rate),rs13300284
9,80192588,80192588,RR interval (heart rate),rs12554086
9,25449124,25449124,RR interval (heart rate),rs12552736
9,121713734,121713734,Heart rate,rs35061590
9,12165298,12165298,Conotruncal heart defects (maternal effects),rs7024392
9,73601791,73601791,Congenital heart disease (inherited effect),rs13285621
9,22100177,22100177,Heart failure,rs1556516
9,133276354,133276354,Heart failure,rs600038
9,125445955,125445955,Heart rate response to beta blockers (atenolol monotherapy),rs10115550
9,18109237,18109237,Heart failure,rs2210327
9,27533986,27533986,Heart failure,rs10812610
9,116194389,116194389,Conotruncal heart defects,rs436582
9,125516460,125516460,Resting heart rate,rs10739663
9,96433812,96433812,Resting heart rate,rs10820614
9,35909521,35909521,Resting heart rate,rs748802
9,23759370,23759370,Glomerular filtration rate change in heart transplantation,rs12057071
10,77684995,77684995,Mortality in heart failure,rs4979906
10,13713544,13713544,RR interval (heart rate),rs1541010
10,116816095,116816095,Heart failure,rs740363
10,8512542,8512542,Conotruncal heart defects (inherited effects),rs72775230
